BugId,Total,jaccard,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,tarantula,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,ochiai,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff,Total,dstar,Exam Score,FLASH,Exam Score,Diff,Exam Score Diff
closure69,5019,5019,1.0000,5019,1.0000,0,0.0000,5019,5019,1.0000,5019,1.0000,0,0.0000,5019,5019,1.0000,5019,1.0000,0,0.0000,5019,5019,1.0000,5019,1.0000,0,0.0000
closure70,4799,4799,1.0000,4799,1.0000,0,0.0000,4799,4799,1.0000,4799,1.0000,0,0.0000,4799,4799,1.0000,4799,1.0000,0,0.0000,4799,4799,1.0000,4799,1.0000,0,0.0000
closure71,4560,63,0.0138,64,0.0140,1,0.0002,4560,63,0.0138,64,0.0140,1,0.0002,4560,60,0.0132,61,0.0134,1,0.0002,4560,60,0.0132,61,0.0134,1,0.0002
closure72,3528,3528,1.0000,3528,1.0000,0,0.0000,3528,3528,1.0000,3528,1.0000,0,0.0000,3528,3528,1.0000,3528,1.0000,0,0.0000,3528,3528,1.0000,3528,1.0000,0,0.0000
closure73,1326,16,0.0121,16,0.0121,0,0.0000,1326,16,0.0121,16,0.0121,0,0.0000,1326,16,0.0121,16,0.0121,0,0.0000,1326,16,0.0121,16,0.0121,0,0.0000
closure74,2645,2645,1.0000,2645,1.0000,0,0.0000,2645,2645,1.0000,2645,1.0000,0,0.0000,2645,2645,1.0000,2645,1.0000,0,0.0000,2645,2645,1.0000,2645,1.0000,0,0.0000
closure75,2378,2378,1.0000,2378,1.0000,0,0.0000,2378,2378,1.0000,2378,1.0000,0,0.0000,2378,2378,1.0000,2378,1.0000,0,0.0000,2378,2378,1.0000,2378,1.0000,0,0.0000
closure76,3229,3229,1.0000,3229,1.0000,0,0.0000,3229,3229,1.0000,3229,1.0000,0,0.0000,3229,3229,1.0000,3229,1.0000,0,0.0000,3229,3229,1.0000,3229,1.0000,0,0.0000
closure77,1272,1272,1.0000,1272,1.0000,0,0.0000,1272,1272,1.0000,1272,1.0000,0,0.0000,1272,1272,1.0000,1272,1.0000,0,0.0000,1272,1272,1.0000,1272,1.0000,0,0.0000
closure78,2458,2458,1.0000,2458,1.0000,0,0.0000,2458,2458,1.0000,2458,1.0000,0,0.0000,2458,2458,1.0000,2458,1.0000,0,0.0000,2458,2458,1.0000,2458,1.0000,0,0.0000
closure79,2481,2481,1.0000,2481,1.0000,0,0.0000,2481,2481,1.0000,2481,1.0000,0,0.0000,2481,2481,1.0000,2481,1.0000,0,0.0000,2481,2481,1.0000,2481,1.0000,0,0.0000
closure80,1320,1320,1.0000,1320,1.0000,0,0.0000,1320,1320,1.0000,1320,1.0000,0,0.0000,1320,1320,1.0000,1320,1.0000,0,0.0000,1320,1320,1.0000,1320,1.0000,0,0.0000
closure81,951,17,0.0179,23,0.0242,6,0.0063,951,17,0.0179,23,0.0242,6,0.0063,951,17,0.0179,23,0.0242,6,0.0063,951,17,0.0179,23,0.0242,6,0.0063
closure82,4366,2354,0.5392,2229,0.5105,-125,-0.0286,4366,2354,0.5392,2229,0.5105,-125,-0.0286,4366,538,0.1232,413,0.0946,-125,-0.0286,4366,538,0.1232,413,0.0946,-125,-0.0286
closure83,175,10,0.0571,10,0.0571,0,0.0000,175,10,0.0571,10,0.0571,0,0.0000,175,10,0.0571,10,0.0571,0,0.0000,175,10,0.0571,10,0.0571,0,0.0000
closure84,962,962,1.0000,962,1.0000,0,0.0000,962,962,1.0000,962,1.0000,0,0.0000,962,962,1.0000,962,1.0000,0,0.0000,962,962,1.0000,962,1.0000,0,0.0000
closure85,2866,2866,1.0000,2866,1.0000,0,0.0000,2866,2866,1.0000,2866,1.0000,0,0.0000,2866,2866,1.0000,2866,1.0000,0,0.0000,2866,2866,1.0000,2866,1.0000,0,0.0000
closure86,5807,2,0.0003,2,0.0003,0,0.0000,5807,14,0.0024,14,0.0024,0,0.0000,5807,2,0.0003,2,0.0003,0,0.0000,5807,2,0.0003,2,0.0003,0,0.0000
closure87,2464,2464,1.0000,2464,1.0000,0,0.0000,2464,2464,1.0000,2464,1.0000,0,0.0000,2464,2464,1.0000,2464,1.0000,0,0.0000,2464,2464,1.0000,2464,1.0000,0,0.0000
closure88,6988,6988,1.0000,6988,1.0000,0,0.0000,6988,6988,1.0000,6988,1.0000,0,0.0000,6988,6988,1.0000,6988,1.0000,0,0.0000,6988,6988,1.0000,6988,1.0000,0,0.0000
closure89,3608,3608,1.0000,3608,1.0000,0,0.0000,3608,3608,1.0000,3608,1.0000,0,0.0000,3608,3608,1.0000,3608,1.0000,0,0.0000,3608,3608,1.0000,3608,1.0000,0,0.0000
closure90,4434,2047,0.4617,2046,0.4614,-1,-0.0002,4434,2047,0.4617,2046,0.4614,-1,-0.0002,4434,2049,0.4621,2048,0.4619,-1,-0.0002,4434,2049,0.4621,2048,0.4619,-1,-0.0002
closure91,2329,2329,1.0000,2329,1.0000,0,0.0000,2329,2329,1.0000,2329,1.0000,0,0.0000,2329,2329,1.0000,2329,1.0000,0,0.0000,2329,2329,1.0000,2329,1.0000,0,0.0000
closure92,2514,85,0.0338,86,0.0342,1,0.0004,2514,85,0.0338,86,0.0342,1,0.0004,2514,85,0.0338,86,0.0342,1,0.0004,2514,85,0.0338,86,0.0342,1,0.0004
closure93,2514,85,0.0338,86,0.0342,1,0.0004,2514,85,0.0338,86,0.0342,1,0.0004,2514,85,0.0338,86,0.0342,1,0.0004,2514,85,0.0338,86,0.0342,1,0.0004
closure94,2557,2557,1.0000,2557,1.0000,0,0.0000,2557,2557,1.0000,2557,1.0000,0,0.0000,2557,2557,1.0000,2557,1.0000,0,0.0000,2557,2557,1.0000,2557,1.0000,0,0.0000
closure95,4760,4760,1.0000,4760,1.0000,0,0.0000,4760,4760,1.0000,4760,1.0000,0,0.0000,4760,4760,1.0000,4760,1.0000,0,0.0000,4760,4760,1.0000,4760,1.0000,0,0.0000
closure96,4002,4002,1.0000,4002,1.0000,0,0.0000,4002,4002,1.0000,4002,1.0000,0,0.0000,4002,4002,1.0000,4002,1.0000,0,0.0000,4002,4002,1.0000,4002,1.0000,0,0.0000
closure97,2099,1,0.0005,16,0.0076,15,0.0071,2099,1,0.0005,16,0.0076,15,0.0071,2099,1,0.0005,16,0.0076,15,0.0071,2099,1,0.0005,16,0.0076,15,0.0071
