Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.mockito.internal.creation.jmock.SearchingClassLoader#64,128,120,122,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SearchingClassLoader#66,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SerializableNoOp#15,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.jmock.SerializableNoOp#18,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#102,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#26,-1,-1,-1,0.0010,0.5105,0.0311,0.0010
org.mockito.internal.creation.settings.CreationSettings#31,-1,-1,-1,0.0010,0.5105,0.0311,0.0010
org.mockito.internal.creation.settings.CreationSettings#32,-1,-1,-1,0.0010,0.5105,0.0311,0.0010
org.mockito.internal.creation.settings.CreationSettings#35,-1,-1,-1,0.0010,0.5105,0.0311,0.0010
org.mockito.internal.creation.settings.CreationSettings#38,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#39,20,19,22,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#40,22,21,24,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#41,24,508,24,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#42,24,508,24,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#43,24,508,24,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#44,24,508,24,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#45,24,508,24,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#46,24,1151,98,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#47,98,97,13,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#48,-1,-1,-1,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#51,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#55,2803,2801,2804,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#56,2804,2798,514,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#60,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#64,2803,2801,2804,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#65,2804,2798,514,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#69,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#73,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#77,15,14,16,0.0017,0.6400,0.0407,0.0017
org.mockito.internal.creation.settings.CreationSettings#85,2803,2801,2804,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#86,2804,2798,514,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#90,15,14,16,0.0010,0.5122,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#94,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.creation.settings.CreationSettings#98,15,14,16,0.0010,0.5124,0.0313,0.0010
org.mockito.internal.debugging.LocationImpl#19,196,195,197,0.0012,0.5671,0.0349,0.0012
org.mockito.internal.debugging.LocationImpl#20,-1,-1,-1,0.0012,0.5671,0.0349,0.0012
org.mockito.internal.debugging.LocationImpl#22,-1,-1,-1,0.0012,0.5671,0.0349,0.0012
org.mockito.internal.debugging.LocationImpl#23,20,848,849,0.0012,0.5671,0.0349,0.0012
org.mockito.internal.debugging.LocationImpl#24,849,833,13,0.0012,0.5671,0.0349,0.0012
org.mockito.internal.debugging.LocationImpl#25,-1,-1,-1,0.0012,0.5671,0.0349,0.0012
org.mockito.internal.exceptions.stacktrace.DefaultStackTraceCleaner#8,-1,-1,-1,0.0011,0.5359,0.0328,0.0011
org.mockito.internal.exceptions.stacktrace.DefaultStackTraceCleanerProvider#12,15,14,16,0.0011,0.5359,0.0328,0.0011
org.mockito.internal.exceptions.stacktrace.DefaultStackTraceCleanerProvider#9,-1,-1,-1,0.0009,0.5009,0.0306,0.0009
org.mockito.internal.exceptions.stacktrace.StackTraceFilter#17,-1,-1,-1,0.0011,0.5359,0.0328,0.0011
org.mockito.internal.exceptions.stacktrace.StackTraceFilter#21,-1,-1,-1,0.0011,0.5359,0.0328,0.0011
